# it	en	es	fr	de	pt
↻ Scansiona	↻ Scan	↻ Buscar	↻ Analyser	↻ Scannen	↻ Procurar
Consiglio iniziale: conserva i valori del gioco. Quando deselezionato, i parametri esistenti restano invariati. Disponibilità ed effetto dipendono dalla versione Unreal e dal gioco.	Start by keeping the game’s values. When unchecked, existing parameters remain unchanged. Availability and effect depend on the Unreal version and the game.	Empieza conservando los valores del juego. Si no se marca, los parámetros existentes no cambian. La disponibilidad y el efecto dependen de la versión de Unreal y del juego.	Commencez par conserver les valeurs du jeu. Si cette option est décochée, les paramètres existants restent inchangés. La disponibilité et l’effet dépendent de la version d’Unreal et du jeu.	Behalte zunächst die Spielwerte bei. Ohne Häkchen bleiben vorhandene Parameter unverändert. Verfügbarkeit und Wirkung hängen von der Unreal-Version und dem Spiel ab.	Começa por manter os valores do jogo. Quando desmarcado, os parâmetros existentes não são alterados. A disponibilidade e o efeito dependem da versão do Unreal e do jogo.
Formato e spazio colore	Format and color space	Formato y espacio de color	Format et espace colorimétrique	Format und Farbraum	Formato e espaço de cor
scRGB · curva 1000 · Rec.709	scRGB · 1000 curve · Rec.709	scRGB · curva 1000 · Rec.709	scRGB · courbe 1000 · Rec.709	scRGB · 1000-Kurve · Rec.709	scRGB · curva 1000 · Rec.709
scRGB · curva 2000 · Rec.709	scRGB · 2000 curve · Rec.709	scRGB · curva 2000 · Rec.709	scRGB · courbe 2000 · Rec.709	scRGB · 2000-Kurve · Rec.709	scRGB · curva 2000 · Rec.709
HDR10 PQ · curva 1000 · Rec.2020	HDR10 PQ · 1000 curve · Rec.2020	HDR10 PQ · curva 1000 · Rec.2020	HDR10 PQ · courbe 1000 · Rec.2020	HDR10 PQ · 1000-Kurve · Rec.2020	HDR10 PQ · curva 1000 · Rec.2020
HDR10 PQ · curva 2000 · Rec.2020	HDR10 PQ · 2000 curve · Rec.2020	HDR10 PQ · curva 2000 · Rec.2020	HDR10 PQ · courbe 2000 · Rec.2020	HDR10 PQ · 2000-Kurve · Rec.2020	HDR10 PQ · curva 2000 · Rec.2020
Luminanza base interfaccia · nit	Base UI luminance · nits	Luminancia base de la interfaz · nits	Luminance de base de l’interface · nits	UI-Basisluminanz · Nits	Luminância base da interface · nits
Moltiplicatore scena ACES · %	ACES scene multiplier · %	Multiplicador de escena ACES · %	Multiplicateur de scène ACES · %	ACES-Szenenmultiplikator · %	Multiplicador de cena ACES · %
Compressione colori ACES	ACES color compression	Compresión de color ACES	Compression des couleurs ACES	ACES-Farbkompression	Compressão de cor ACES
Composizione UI HDR	HDR UI composition	Composición HDR de la interfaz	Composition HDR de l’interface	HDR-UI-Komposition	Composição HDR da interface
HDR Peak 1000 · nominale 1000 nit	HDR Peak 1000 · nominal 1000 nits	HDR Peak 1000 · nominal 1000 nits	HDR Peak 1000 · nominal 1000 nits	HDR Peak 1000 · nominell 1000 Nits	HDR Peak 1000 · nominal 1000 nits
HDR Peak 1000 · personalizzato 1060 nit	HDR Peak 1000 · custom 1060 nits	HDR Peak 1000 · personalizado 1060 nits	HDR Peak 1000 · personnalisé 1060 nits	HDR Peak 1000 · benutzerdefiniert 1060 Nits	HDR Peak 1000 · personalizado 1060 nits
HDR 400 True Black · nominale 400 nit	HDR 400 True Black · nominal 400 nits	HDR 400 True Black · nominal 400 nits	HDR 400 True Black · nominal 400 nits	HDR 400 True Black · nominell 400 Nits	HDR 400 True Black · nominal 400 nits
Dati del display / calibrazione manuale	Display data / manual calibration	Datos de pantalla / calibración manual	Données d’écran / étalonnage manuel	Displaydaten / manuelle Kalibrierung	Dados do ecrã / calibração manual
Consigli del monitor	Monitor advice	Recomendaciones del monitor	Conseils pour le moniteur	Monitor-Empfehlungen	Recomendações do monitor
MONITOR E CONSIGLI	MONITOR AND RECOMMENDATIONS	MONITOR Y RECOMENDACIONES	MONITEUR ET CONSEILS	MONITOR UND EMPFEHLUNGEN	MONITOR E RECOMENDAÇÕES
Rileva di nuovo	Detect again	Detectar de nuevo	Détecter à nouveau	Erneut erkennen	Detetar novamente
Strumenti e parametri motore	Engine tools and parameters	Herramientas y parámetros del motor	Outils et paramètres du moteur	Engine-Werkzeuge und Parameter	Ferramentas e parâmetros do motor
PARAMETRI MOTORE · OPZIONALE	ENGINE PARAMETERS · OPTIONAL	PARÁMETROS DEL MOTOR · OPCIONAL	PARAMÈTRES DU MOTEUR · FACULTATIF	ENGINE-PARAMETER · OPTIONAL	PARÂMETROS DO MOTOR · OPCIONAL
Opzionale: legge i parametri del motore, non la scena. L’analizzatore di luminanza usa Windows e non richiede UE4SS.	Optional: reads engine parameters, not scene luminance. The luminance analyzer uses Windows and does not require UE4SS.	Opcional: lee los parámetros del motor, no la luminancia de la escena. El analizador de luminancia usa Windows y no requiere UE4SS.	Facultatif : lit les paramètres du moteur, pas la luminance de la scène. L’analyseur de luminance utilise Windows et ne nécessite pas UE4SS.	Optional: Liest Engine-Parameter, nicht die Szenenluminanz. Die Luminanzanalyse nutzt Windows und benötigt kein UE4SS.	Opcional: lê os parâmetros do motor, não a luminância da cena. O analisador de luminância usa o Windows e não requer UE4SS.
Aggiorna stato lettore	Refresh reader status	Actualizar estado del lector	Actualiser l’état du lecteur	Leserstatus aktualisieren	Atualizar estado do leitor
Vedi parametri del motore	View engine parameters	Ver parámetros del motor	Afficher les paramètres du moteur	Engine-Parameter anzeigen	Ver parâmetros do motor
Installa / attiva lettore UE4SS	Install / enable UE4SS reader	Instalar / activar lector UE4SS	Installer / activer le lecteur UE4SS	UE4SS-Leser installieren / aktivieren	Instalar / ativar leitor UE4SS
Installa UE4SS + lettore	Install UE4SS + reader	Instalar UE4SS + lector	Installer UE4SS + lecteur	UE4SS + Leser installieren	Instalar UE4SS + leitor
Installa / attiva lettore	Install / enable reader	Instalar / activar lector	Installer / activer le lecteur	Leser installieren / aktivieren	Instalar / ativar leitor
Disattiva lettore	Disable reader	Desactivar lector	Désactiver le lecteur	Leser deaktivieren	Desativar leitor
Sola lettura ripristinata dopo il salvataggio.	Read-only status restored after saving.	Se restaura el estado de solo lectura después de guardar.	L’attribut de lecture seule est rétabli après l’enregistrement.	Schreibschutz nach dem Speichern wiederhergestellt.	Estado só de leitura restaurado após guardar.
La verifica dei file non misura l’HDR in gioco.	File verification does not measure in-game HDR.	La verificación de archivos no mide el HDR del juego.	La vérification des fichiers ne mesure pas le HDR en jeu.	Die Dateiprüfung misst kein HDR im Spiel.	A verificação dos ficheiros não mede o HDR no jogo.
Stato lettore non verificabile: {0}	Reader status could not be checked: {0}	No se pudo comprobar el estado del lector: {0}	Impossible de vérifier l’état du lecteur : {0}	Leserstatus konnte nicht geprüft werden: {0}	Não foi possível verificar o estado do leitor: {0}
Rilevate due installazioni UE4SS. Risolvi l’installazione duplicata prima di aggiungere il lettore.	Two UE4SS runtimes detected. Resolve the duplicate installation before adding the reader.	Se detectaron dos instalaciones de UE4SS. Resuelve la instalación duplicada antes de añadir el lector.	Deux installations UE4SS ont été détectées. Résolvez le doublon avant d’ajouter le lecteur.	Zwei UE4SS-Installationen erkannt. Behebe die doppelte Installation, bevor du den Leser hinzufügst.	Foram detetadas duas instalações do UE4SS. Resolve a instalação duplicada antes de adicionar o leitor.
UE4SS presente	UE4SS detected	UE4SS detectado	UE4SS détecté	UE4SS erkannt	UE4SS detetado
UE4SS non rilevato	UE4SS not detected	UE4SS no detectado	UE4SS non détecté	UE4SS nicht erkannt	UE4SS não detetado
Lettore HDLSS già installato (HDRPilotTelemetry)	HDLSS reader already installed (HDRPilotTelemetry)	Lector HDLSS ya instalado (HDRPilotTelemetry)	Lecteur HDLSS déjà installé (HDRPilotTelemetry)	HDLSS-Leser bereits installiert (HDRPilotTelemetry)	Leitor HDLSS já instalado (HDRPilotTelemetry)
Lettore HDLSS non installato	HDLSS reader not installed	Lector HDLSS no instalado	Lecteur HDLSS non installé	HDLSS-Leser nicht installiert	Leitor HDLSS não instalado
Voce presente in mods.txt: controlla anche questa abilitazione.	Entry found in mods.txt: also check whether it is enabled there.	Entrada encontrada en mods.txt: comprueba también si está activada allí.	Entrée trouvée dans mods.txt : vérifiez aussi son activation dans ce fichier.	Eintrag in mods.txt gefunden: Prüfe auch dort die Aktivierung.	Entrada encontrada em mods.txt: verifica também se está ativada nesse ficheiro.
Abilitazione configurata con enabled.txt	Enabled through enabled.txt	Activado mediante enabled.txt	Activé via enabled.txt	Über enabled.txt aktiviert	Ativado através de enabled.txt
Nessun file enabled.txt presente	No enabled.txt file found	No se encontró enabled.txt	Aucun fichier enabled.txt trouvé	Keine Datei enabled.txt gefunden	Nenhum ficheiro enabled.txt encontrado
Dati recenti ricevuti dal lettore	Recent data received from the reader	Datos recientes recibidos del lector	Données récentes reçues du lecteur	Aktuelle Daten vom Leser empfangen	Dados recentes recebidos do leitor
Nessun dato recente ricevuto	No recent data received	No se han recibido datos recientes	Aucune donnée récente reçue	Keine aktuellen Daten empfangen	Nenhum dado recente recebido
Ultimo file di lettura: {0}	Last reader file: {0}	Último archivo del lector: {0}	Dernier fichier du lecteur : {0}	Letzte Leserdatei: {0}	Último ficheiro do leitor: {0}
Seleziona un gioco per verificare il lettore.	Select a game to check the reader.	Selecciona un juego para comprobar el lector.	Sélectionnez un jeu pour vérifier le lecteur.	Wähle ein Spiel, um den Leser zu prüfen.	Seleciona um jogo para verificar o leitor.
Seleziona un gioco e un target.exe valido.	Select a game and a valid target executable.	Selecciona un juego y un ejecutable de destino válido.	Sélectionnez un jeu et un exécutable cible valide.	Wähle ein Spiel und eine gültige Ziel-EXE.	Seleciona um jogo e um executável de destino válido.
File letti · HDR richiesto: {0}. I campi assenti usano il profilo iniziale; eventuali decimali sono arrotondati nel pannello.	Files read · HDR requested: {0}. Missing fields use the initial profile; decimal values are rounded in this panel.	Archivos leídos · HDR solicitado: {0}. Los campos ausentes usan el perfil inicial; los decimales se redondean en este panel.	Fichiers lus · HDR demandé : {0}. Les champs absents utilisent le profil initial ; les décimales sont arrondies dans ce panneau.	Dateien gelesen · HDR angefordert: {0}. Fehlende Felder verwenden das Ausgangsprofil; Dezimalwerte werden in diesem Bereich gerundet.	Ficheiros lidos · HDR solicitado: {0}. Os campos em falta usam o perfil inicial; os valores decimais são arredondados neste painel.
non impostato	not set	no establecido	non défini	nicht festgelegt	não definido
Valori iniziali, non una calibrazione misurata.	Initial values, not a measured calibration.	Valores iniciales, no una calibración medida.	Valeurs initiales, pas un étalonnage mesuré.	Ausgangswerte, keine gemessene Kalibrierung.	Valores iniciais, não uma calibração medida.
Profilo selezionato: {0} nit	Selected profile: {0} nits	Perfil seleccionado: {0} nits	Profil sélectionné : {0} nits	Gewähltes Profil: {0} Nits	Perfil selecionado: {0} nits
Monitor non rilevato	Monitor not detected	Monitor no detectado	Moniteur non détecté	Monitor nicht erkannt	Monitor não detetado
Inserisci il picco calibrato	Enter the calibrated peak	Introduce el pico calibrado	Saisissez le pic étalonné	Kalibrierten Spitzenwert eingeben	Introduz o pico calibrado
Dati non disponibili. Inserisci manualmente il picco calibrato del tuo display.	Data unavailable. Manually enter your display’s calibrated peak.	Datos no disponibles. Introduce manualmente el pico calibrado de tu pantalla.	Données indisponibles. Saisissez manuellement le pic étalonné de votre écran.	Keine Daten verfügbar. Gib den kalibrierten Spitzenwert deines Displays manuell ein.	Dados indisponíveis. Introduz manualmente o pico calibrado do teu ecrã.
Modello riconosciuto. Picco dichiarato EDID: {0} nit. Scegli la stessa modalità nel menu del monitor: l’app non può leggerla o cambiarla. 1060 è un profilo personalizzato. Base: mezzitoni 15 nit, UI 100%, nero Unreal. Premi Consigliati per compilare i campi.	Model recognized. EDID-reported peak: {0} nits. Select the same mode in the monitor menu: the app cannot read or change it. 1060 is a custom profile. Defaults: midtones 15 nits, UI 100%, Unreal black level. Click Recommended to fill the fields.	Modelo reconocido. Pico indicado por EDID: {0} nits. Selecciona el mismo modo en el menú del monitor: la app no puede leerlo ni cambiarlo. 1060 es un perfil personalizado. Valores iniciales: tonos medios 15 nits, interfaz 100%, negro de Unreal. Pulsa Recomendados para completar los campos.	Modèle reconnu. Pic déclaré par l’EDID : {0} nits. Sélectionnez le même mode dans le menu du moniteur : l’application ne peut ni le lire ni le modifier. 1060 est un profil personnalisé. Valeurs initiales : tons moyens 15 nits, interface 100 %, noir Unreal. Cliquez sur Recommandés pour remplir les champs.	Modell erkannt. Laut EDID gemeldeter Spitzenwert: {0} Nits. Wähle denselben Modus im Monitormenü: Die App kann ihn weder auslesen noch ändern. 1060 ist ein benutzerdefiniertes Profil. Standardwerte: Mitteltöne 15 Nits, UI 100 %, Unreal-Schwarzwert. Klicke auf Empfohlen, um die Felder auszufüllen.	Modelo reconhecido. Pico indicado pelo EDID: {0} nits. Seleciona o mesmo modo no menu do monitor: a aplicação não o pode ler nem alterar. 1060 é um perfil personalizado. Valores iniciais: tons médios 15 nits, interface 100%, preto do Unreal. Clica em Recomendados para preencher os campos.
Picco dichiarato nell’EDID: {0} nit. Punto di partenza, non misura né lettura della calibrazione Windows. Base motore: 15 nit, UI 100%, nero Unreal. Verifica HDR in Windows e il picco calibrato; Consigliati compila i campi.	EDID-reported peak: {0} nits. A starting point, not a measurement or a reading of Windows calibration. Engine defaults: 15 nits, UI 100%, Unreal black level. Check Windows HDR and the calibrated peak; Recommended fills the fields.	Pico indicado por EDID: {0} nits. Es un punto de partida, no una medida ni una lectura de la calibración de Windows. Valores del motor: 15 nits, interfaz 100%, negro de Unreal. Comprueba HDR en Windows y el pico calibrado; Recomendados completa los campos.	Pic déclaré par l’EDID : {0} nits. Point de départ, pas une mesure ni une lecture de l’étalonnage Windows. Valeurs moteur : 15 nits, interface 100 %, noir Unreal. Vérifiez le HDR de Windows et le pic étalonné ; Recommandés remplit les champs.	Laut EDID gemeldeter Spitzenwert: {0} Nits. Ein Ausgangspunkt, keine Messung oder Auslesung der Windows-Kalibrierung. Engine-Standardwerte: 15 Nits, UI 100 %, Unreal-Schwarzwert. Prüfe Windows-HDR und den kalibrierten Spitzenwert; Empfohlen füllt die Felder aus.	Pico indicado pelo EDID: {0} nits. É um ponto de partida, não uma medição nem uma leitura da calibração do Windows. Valores do motor: 15 nits, interface 100%, preto do Unreal. Verifica o HDR do Windows e o pico calibrado; Recomendados preenche os campos.
Modello identificato; dati HDR o picco non disponibili. Nessun picco consigliato inventato: usa la calibrazione del display. Base motore: mezzitoni 15 nit, UI 100%, nero Unreal.	Model identified; HDR data or peak unavailable. No peak is assumed: use the display calibration. Engine defaults: midtones 15 nits, UI 100%, Unreal black level.	Modelo identificado; datos HDR o pico no disponibles. No se supone ningún pico: usa la calibración de la pantalla. Valores del motor: tonos medios 15 nits, interfaz 100%, negro de Unreal.	Modèle identifié ; données HDR ou pic indisponibles. Aucun pic n’est supposé : utilisez l’étalonnage de l’écran. Valeurs moteur : tons moyens 15 nits, interface 100 %, noir Unreal.	Modell erkannt; HDR-Daten oder Spitzenwert nicht verfügbar. Kein Spitzenwert wird angenommen: Nutze die Displaykalibrierung. Engine-Standardwerte: Mitteltöne 15 Nits, UI 100 %, Unreal-Schwarzwert.	Modelo identificado; dados HDR ou pico indisponíveis. Não é assumido nenhum pico: usa a calibração do ecrã. Valores do motor: tons médios 15 nits, interface 100%, preto do Unreal.
